param_type,name,value,fold,alpha_y,alpha_slight,alpha_serious,alpha_fatal
beta,Intercept,-17.293683393853815,1,1.4275871895810783,0.0005721299116801693,0.00020968684877824295,0.15291334746694774
gamma,Intercept,-1.4923128770640595,1,1.4275871895810783,0.0005721299116801693,0.00020968684877824295,0.15291334746694774
delta_slight,Intercept,-0.9138410184039409,1,1.4275871895810783,0.0005721299116801693,0.00020968684877824295,0.15291334746694774
delta_serious,Intercept,-0.3454341341659396,1,1.4275871895810783,0.0005721299116801693,0.00020968684877824295,0.15291334746694774
delta_fatal,Intercept,-2.644420457887294,1,1.4275871895810783,0.0005721299116801693,0.00020968684877824295,0.15291334746694774
beta,Intercept,-17.294970411165398,2,1.4212123448280711,0.00047850185096804185,0.00020002880297208738,0.20451767090766979
gamma,Intercept,-1.4447835386581007,2,1.4212123448280711,0.00047850185096804185,0.00020002880297208738,0.20451767090766979
delta_slight,Intercept,-0.9609749831444933,2,1.4212123448280711,0.00047850185096804185,0.00020002880297208738,0.20451767090766979
delta_serious,Intercept,-0.31029234505015263,2,1.4212123448280711,0.00047850185096804185,0.00020002880297208738,0.20451767090766979
delta_fatal,Intercept,-2.718140891539597,2,1.4212123448280711,0.00047850185096804185,0.00020002880297208738,0.20451767090766979
beta,Intercept,-17.29210462366804,3,1.4705862538479655,2.838263391661084e-08,2.4609767083735002e-08,0.000978646798832175
gamma,Intercept,-1.4525749525164884,3,1.4705862538479655,2.838263391661084e-08,2.4609767083735002e-08,0.000978646798832175
delta_slight,Intercept,-0.9036669188404456,3,1.4705862538479655,2.838263391661084e-08,2.4609767083735002e-08,0.000978646798832175
delta_serious,Intercept,-0.3351605067543023,3,1.4705862538479655,2.838263391661084e-08,2.4609767083735002e-08,0.000978646798832175
delta_fatal,Intercept,-2.6036797407026024,3,1.4705862538479655,2.838263391661084e-08,2.4609767083735002e-08,0.000978646798832175
beta,Intercept,-17.311018989713677,4,1.2906636938806464,0.0012506055611730526,0.0003854830496209412,0.13163528064590632
gamma,Intercept,-1.5158880301277604,4,1.2906636938806464,0.0012506055611730526,0.0003854830496209412,0.13163528064590632
delta_slight,Intercept,-0.9356090869885176,4,1.2906636938806464,0.0012506055611730526,0.0003854830496209412,0.13163528064590632
delta_serious,Intercept,-0.3661096235359437,4,1.2906636938806464,0.0012506055611730526,0.0003854830496209412,0.13163528064590632
delta_fatal,Intercept,-2.528750858005197,4,1.2906636938806464,0.0012506055611730526,0.0003854830496209412,0.13163528064590632
beta,Intercept,-17.30336369577883,5,1.2849808008952461,0.0005193326152869694,0.00024151767740757414,0.06700656343972923
gamma,Intercept,-1.4852927106249472,5,1.2849808008952461,0.0005193326152869694,0.00024151767740757414,0.06700656343972923
delta_slight,Intercept,-0.9692202353591047,5,1.2849808008952461,0.0005193326152869694,0.00024151767740757414,0.06700656343972923
delta_serious,Intercept,-0.35056770243658114,5,1.2849808008952461,0.0005193326152869694,0.00024151767740757414,0.06700656343972923
delta_fatal,Intercept,-2.479411729859454,5,1.2849808008952461,0.0005193326152869694,0.00024151767740757414,0.06700656343972923
