param_type,name,value,sigma_post,CI_low,CI_high
beta,Intercept,-17.965676122074036,,,
beta,Frac_Truck,0.9742962116378545,0.37512086008908924,0.4935594861222452,1.4550329371534638
beta,SpeedDiff_Car_Van,0.015745768616951525,0.012142959775703451,0.00018393950605365833,0.03130759772784939
beta,SpeedDiff_Truck,-0.02509424265233553,0.014978280344205976,-0.044289681276618614,-0.005898804028052443
beta,URBAN,0.7574538071457294,0.031238669968420316,0.7174198407421692,0.7974877735492896
beta,Link_group_0,-0.2025331495970986,0.06811865173819728,-0.28983071437497276,-0.11523558481922444
beta,Link_group_1,0.00968960691149448,0.04544224903347291,-0.04854697847922033,0.06792619230220928
beta,Link_group_2,0.3626218341771509,0.05281087720824226,0.29494197181314435,0.4303016965411574
beta,Link_group_3,-0.0062754855842551,0.08048120891318342,-0.10941630486386736,0.09686533369535716
beta,Region Hovedstaden,0.17149613542200748,0.05826419811354398,0.09682756111439443,0.2461647097296205
beta,Region Sjælland,-0.17666216872436682,0.06263490430252633,-0.25693202839100565,-0.09639230905772798
beta,Region Syddanmark,0.15726048892281988,0.05589895972563315,0.08562308957412015,0.2288978882715196
beta,Region Midtjylland,0.01384244347089531,0.04785415920658992,-0.04748512917813055,0.07517001611992118
beta,Region Nordjylland,-0.15836249835457505,0.06819968904044857,-0.24576391661401684,-0.07096108009513327
gamma,Intercept,-2.5071414460265595,,,
gamma,Frac_Truck,0.014489851506304826,0.34360880605047395,-0.42586255182259103,0.4548422548352007
gamma,FreeSpeed,0.011096256440853743,0.002808367804604261,0.0074971882842381,0.014695324597469386
gamma,URBAN,-0.007623460980194128,0.046422197278483346,-0.06711590057845475,0.05186897861806649
gamma,Link_group_0,-0.9721575513354019,0.3328266189182926,-1.398692025865056,-0.545623076805748
gamma,Link_group_1,0.4672370332008876,0.21118583824283338,0.19659149157993577,0.7378825748218394
gamma,Link_group_2,0.6549465197899365,0.19271321448887901,0.40797459806058123,0.9019184415192917
gamma,Link_group_3,-0.22508332860236013,0.3035164901901598,-0.6140553617741618,0.1638887045694415
gamma,Region Hovedstaden,0.01376987292906971,0.07984400687902038,-0.0885543390860927,0.11609408494423212
gamma,Region Sjælland,0.04190392187287282,0.09297998531299075,-0.07725472386930443,0.16106256761505006
gamma,Region Syddanmark,-0.2526487678852838,0.10861483518320929,-0.3918442799556944,-0.11345325581487317
gamma,Region Midtjylland,-0.06301028623757404,0.09083554422991312,-0.17942072015251498,0.05340014767736691
gamma,Region Nordjylland,0.24474540521467936,0.1370743354719448,0.06907757599462275,0.420413234434736
delta_slight,Intercept,-0.976102024417864,,,
delta_slight,Link_group_0,0.3685458401264012,0.14181678671353112,0.1868003150931707,0.5502913651596317
delta_slight,Link_group_1,-0.007229554925596346,0.05566998710913951,-0.07857351405916181,0.06411440420796911
delta_slight,Link_group_2,0.0004908583151085986,0.05404555178387041,-0.06877130318423229,0.0697530198144495
delta_slight,Link_group_3,-0.6113051235419052,0.6386312665596469,-1.4297440230071516,0.20713377592334115
delta_serious,Intercept,-0.3428906232367943,,,
delta_serious,Link_group_0,0.002333770283627411,0.0704366310917155,-0.08793440456364805,0.09260194513090288
delta_serious,Link_group_1,0.028442763750176764,0.0467185922830288,-0.03142952133017868,0.0883150488305322
delta_serious,Link_group_2,-0.020349166951752286,0.04139308225759063,-0.07339653632168397,0.0326982024181794
delta_serious,Link_group_3,-0.018427072394154587,0.22499049834494492,-0.30676399778077856,0.2699098529924694
delta_fatal,Intercept,-2.5865140038751373,,,
delta_fatal,Link_group_0,-0.07766841829185957,0.22507184116609766,-0.36610958869827764,0.21077275211455854
delta_fatal,Link_group_1,0.21413954239309863,0.15479955755371372,0.015755927064525332,0.4125231577216719
delta_fatal,Link_group_2,-0.2445380404696111,0.18076990528721712,-0.47620399559379334,-0.012872085345428885
delta_fatal,Link_group_3,0.3288007184815839,0.6302530804829416,-0.47890110350063697,1.1365025404638047
